Nombre;Apellido;DNI;Telefono;Edad
Hugo;Sanchez;74920131;975129478;42
Mateo;Lecca;75116903;961730985;18
Martin;Ramirez;23419940;951742184;41
Lucas;Ortiz;51203189;945712842;56
Leo;Vasquez;42183129;957184232;19
Daniel;Reyes;51803210;965496998;28
Alejandro;Valenzuela;58921090;917289312;20
Manuel;Milan;47280141;945732853;19
Pablo;Perez;74126841;947129437;20
Alvaro;Peralta;36214712;943578349;21
Adrian;Quispe;19342749;989543545;38
Enzo;Manrrique;47821412;973248890;27
Mario;Martinez;58043008;907843299;58
Diego;Abanto;78049219;980532877;36
David;Bambaren;52617391;905237854;40
Oliver;Vivas;56721312;954830094;24
Marcos;Zurita;51267489;954305378;22
Thiago;Aguilar;47128042;918243129;18
Marco;Huayta;51672894;953475398;30
Alex;Choque;12457898;904217889;39
Javier;Palomino;17599048;940217518;49
Izan;Jaimes;98750199;925347991;69
Bruno;Ureta;85792188;912057410;43
Miguel;Paredes;78921190;958139598;29
Antonio;Mamani;84921471;958329853;48
Gonzalo;Prieto;97521897;980210489;49
Liam;Mattos;51824190;934853009;68
Gael;Casas;95721734;953285238;75
Marc;Bautista;48219421;999859430;19
Carlos;Marroqui;85219987;954385308;20
Juan;Merino;57721378;954238953;21
Angel;Garcia;59123948;950423888;49
Dylan;Aliaga;61794219;999539878;34
Nicola;Sulca;51829049;957329423;35
Jose;Castillo;12421870;951238795;25
Sergio;Vega;51784810;941294843;32
Gabriel;Escalante;25285320;919342149;34
Luca;Santos;54385399;958712035;47
Jorge;Vilches;34394328;940218489;20
Dario;Carrillo;24928408;948214901;19
Iker;Guerrero;56326532;915910349;40
Samuel;Henriquez;53286954;912491888;69
Eric;Hernandez;62487590;948219401;48
Adam;Melgar;78518359;947812941;18
Hector;Sola;12414834;942198412;24
Francisco;Andrade;51890905;941238489;56
Rodrigo;Benitez;38954199;941237419;34
Jesus;Hermoza;41925810;979147918;45
Erik;Castro;53985932;912374139;23
Amir;Contreras;51738042;941208419;59
Jaime;Diaz;29838593;942141889;19
Ian;Leon;42193190;908419007;30
Ruben;Diez;41239491;931208487;41
Aaron;Espinoza;54836308;997894712;49
Ivan;Fernandez;75812990;949317409;20
Pau;Flores;51899090;993210779;49
Victor;Gimenez;19294090;904281972;49
Guillermo;Gomez;43810989;930218419;40
